D,T,C
19/09/09,14:19:08,5.703982
19/09/09,14:19:09,5.545947
19/09/09,14:19:10,5.4207511
19/09/09,14:19:11,4.6616967
19/09/09,14:19:12,4.0541315
19/09/09,14:19:13,4.079583199999999
19/09/09,14:19:14,3.2922808000000003
19/09/09,14:19:15,3.2904202999999996
19/09/09,14:19:16,3.180873
19/09/09,14:19:17,3.1551908
19/09/09,14:19:18,3.1686284000000002
19/09/09,14:19:19,3.2325604999999995
19/09/09,14:19:20,3.2020126000000007
19/09/09,14:19:21,2.8632084000000004
19/09/09,14:19:22,3.3079993999999995
19/09/09,14:19:23,3.6152853999999994
19/09/09,14:19:24,4.2202744
19/09/09,14:19:25,4.906604400000001
19/09/09,14:19:26,3.5707166
19/09/09,14:19:27,6.1443074
19/09/09,14:19:28,12.2978558
19/09/09,14:19:29,12.367952500000001
19/09/09,14:19:30,7.252992599999999
19/09/09,14:19:31,8.1857281
19/09/09,14:19:32,11.540532900000002
19/09/09,14:19:33,11.681437
19/09/09,14:19:34,8.238485199999998
19/09/09,14:19:35,5.4870443
19/09/09,14:19:36,5.5569964999999995
19/09/09,14:19:37,7.298533499999999
19/09/09,14:19:38,8.0461156
19/09/09,14:19:39,7.0937275
19/09/09,14:19:40,7.531268799999999
19/09/09,14:19:41,8.411499200000002
19/09/09,14:19:42,8.960404899999999
19/09/09,14:19:43,9.5516483
19/09/09,14:19:44,9.5351007
19/09/09,14:19:45,9.6004795
19/09/09,14:19:46,9.7621643
19/09/09,14:19:47,11.1371849
19/09/09,14:19:48,12.007082399999996
19/09/09,14:19:49,9.817148600000001
19/09/09,14:19:50,12.0842527
19/09/09,14:19:51,14.059480199999998
19/09/09,14:19:52,13.713996400000001
19/09/09,14:19:53,11.295294799999999
19/09/09,14:19:54,11.258590800000002
19/09/09,14:19:55,10.384827200000002
19/09/09,14:19:56,9.3719609
19/09/09,14:19:57,7.483252299999999
19/09/09,14:19:58,8.9158158
19/09/09,14:19:59,9.7160589
19/09/09,14:20:00,12.6775931
19/09/09,14:20:01,10.9487086
19/09/09,14:20:02,9.960036199999998
19/09/09,14:20:03,10.1060022
19/09/09,14:20:04,9.642555899999998
19/09/09,14:20:05,7.288514500000002
19/09/09,14:20:06,8.312886500000001
19/09/09,14:20:07,6.422336799999999
19/09/09,14:20:08,6.3388746000000005
19/09/09,14:20:09,6.2620833000000005
19/09/09,14:20:10,5.6497222
19/09/09,14:20:11,3.6935222
19/09/09,14:20:12,5.1095512
19/09/09,14:20:13,4.6233993
19/09/09,14:20:14,3.6505310999999994
19/09/09,14:20:15,3.4278397000000003
19/09/09,14:20:16,3.5289007
19/09/09,14:20:17,4.4131295
19/09/09,14:20:18,4.8841835
19/09/09,14:20:19,5.1506386
19/09/09,14:20:20,4.516750200000001
19/09/09,14:20:21,4.5286366000000005
19/09/09,14:20:22,4.1913623
19/09/09,14:20:23,4.2977924000000005
19/09/09,14:20:24,3.7199886999999996
19/09/09,14:20:25,4.9202059
19/09/09,14:20:26,10.883814499999998
19/09/09,14:20:27,8.0919179
19/09/09,14:20:28,10.0274001
19/09/09,14:20:29,6.721009199999998
19/09/09,14:20:30,7.936639899999999
19/09/09,14:20:31,10.3697509
19/09/09,14:20:32,10.649115100000001
19/09/09,14:20:33,11.9667178
19/09/09,14:20:34,11.217153900000001
19/09/09,14:20:35,10.694036799999997
19/09/09,14:20:36,9.790929799999997
19/09/09,14:20:37,10.0891658
19/09/09,14:20:38,10.0100793
19/09/09,14:20:39,10.1801162
19/09/09,14:20:40,9.174231500000001
19/09/09,14:20:41,8.809103
19/09/09,14:20:42,7.526131099999999
19/09/09,14:20:43,8.9414254
19/09/09,14:20:44,7.8433006
19/09/09,14:20:45,7.044003499999999
19/09/09,14:20:46,7.3186458
19/09/09,14:20:47,6.8393809
19/09/09,14:20:48,7.276654100000001
19/09/09,14:20:49,5.588705100000001
19/09/09,14:20:50,5.588705100000001
19/09/09,14:20:51,5.533135499999999
19/09/09,14:20:52,6.8006453
19/09/09,14:20:53,10.6761234
19/09/09,14:20:54,10.5269868
19/09/09,14:20:55,8.5717175
19/09/09,14:20:56,10.280911000000001
19/09/09,14:20:57,12.376968
19/09/09,14:20:58,12.5627012
19/09/09,14:20:59,11.1049365
19/09/09,14:21:00,11.203218799999997
19/09/09,14:21:01,10.771184100000001
19/09/09,14:21:02,9.957340699999998
19/09/09,14:21:03,8.3721965
19/09/09,14:21:04,5.5635589
19/09/09,14:21:05,5.6335934000000005
19/09/09,14:21:06,12.407254199999997
19/09/09,14:21:07,8.3529692
19/09/09,14:21:08,8.803691200000001
19/09/09,14:21:09,8.546270200000002
19/09/09,14:21:10,8.1050221
19/09/09,14:21:11,6.8351012
19/09/09,14:21:12,7.119688300000002
19/09/09,14:21:13,5.5288208999999995
19/09/09,14:21:14,7.723732299999998
19/09/09,14:21:15,11.137343399999999
19/09/09,14:21:16,6.8123349
19/09/09,14:21:17,7.688034400000001
19/09/09,14:21:18,5.543956
19/09/09,14:21:19,12.0564819
19/09/09,14:21:20,7.846070699999999
19/09/09,14:21:21,9.5224054
19/09/09,14:21:22,6.349762999999999
19/09/09,14:21:23,4.7946445
19/09/09,14:21:24,6.5332546
19/09/09,14:21:25,6.032365500000001
19/09/09,14:21:26,8.2021244
19/09/09,14:21:27,6.333340099999998
19/09/09,14:21:28,7.629887600000001
19/09/09,14:21:29,9.873635700000001
19/09/09,14:21:30,11.270167099999998
19/09/09,14:21:31,6.595154500000001
19/09/09,14:21:32,6.5431868
19/09/09,14:21:33,6.762850400000001
19/09/09,14:21:34,6.4493929
19/09/09,14:21:35,5.9149633
19/09/09,14:21:36,5.1412865
19/09/09,14:21:37,4.6950268
19/09/09,14:21:38,4.4948345
19/09/09,14:21:39,5.8904426
19/09/09,14:21:40,3.7575825000000003
19/09/09,14:21:41,5.113787
19/09/09,14:21:42,5.4456682
19/09/09,14:21:43,7.1998491
19/09/09,14:21:44,7.123356200000001
19/09/09,14:21:45,9.446414500000001
19/09/09,14:21:46,8.8115853
19/09/09,14:21:47,5.5262096
19/09/09,14:21:48,5.805379200000001
19/09/09,14:21:49,5.9573555
19/09/09,14:21:50,6.494378699999998
19/09/09,14:21:51,7.1459425
19/09/09,14:21:52,7.856613200000002
19/09/09,14:21:53,9.9426833
19/09/09,14:21:54,10.416424999999998
19/09/09,14:21:55,10.782499600000001
19/09/09,14:21:56,7.201253799999997
19/09/09,14:21:57,5.501117700000001
19/09/09,14:21:58,8.196520499999998
19/09/09,14:21:59,11.639695999999999
19/09/09,14:22:00,14.4369832
19/09/09,14:22:01,12.7071911
19/09/09,14:22:02,11.878856500000001
19/09/09,14:22:03,11.9622233
19/09/09,14:22:04,14.4904911
19/09/09,14:22:05,15.4515958
19/09/09,14:22:06,13.493439099999996
19/09/09,14:22:07,12.6184983
19/09/09,14:22:08,12.5813214
19/09/09,14:22:09,11.424871600000001
19/09/09,14:22:10,9.4394022
19/09/09,14:22:11,9.942949299999999
19/09/09,14:22:12,14.9917724
19/09/09,14:22:13,14.442745699999998
19/09/09,14:22:14,16.0961813
19/09/09,14:22:15,15.1235582
19/09/09,14:22:16,17.512416700000003
19/09/09,14:22:17,5.634416
19/09/09,14:22:18,13.8796372
19/09/09,14:22:19,15.956787800000003
19/09/09,14:22:20,15.4204453
19/09/09,14:22:21,15.3325926
19/09/09,14:22:22,7.5708961
19/09/09,14:22:23,12.607363699999999
19/09/09,14:22:24,12.331056599999997
19/09/09,14:22:25,13.5767312
19/09/09,14:22:26,5.533305200000001
19/09/09,14:22:27,15.5201359
19/09/09,14:22:28,15.7980175
19/09/09,14:22:29,5.533598499999999
19/09/09,14:22:30,14.647275500000001
19/09/09,14:22:31,8.342433199999999
19/09/09,14:22:32,16.487535800000003
19/09/09,14:22:33,7.632155899999999
19/09/09,14:22:34,6.4760503
19/09/09,14:22:35,7.490979500000001
19/09/09,14:22:36,9.2237892
19/09/09,14:22:37,7.7531639
19/09/09,14:22:38,17.159917
19/09/09,14:22:39,15.4767675
19/09/09,14:22:40,15.022523500000004
19/09/09,14:22:41,16.6771008
19/09/09,14:22:42,15.955826400000001
19/09/09,14:22:43,16.552318200000002
19/09/09,14:22:44,16.164325499999997
19/09/09,14:22:45,10.3438763
19/09/09,14:22:46,11.9449722
19/09/09,14:22:47,14.534358000000003
19/09/09,14:22:48,16.686757100000005
19/09/09,14:22:49,16.7615649
19/09/09,14:22:50,16.7854735
19/09/09,14:22:51,16.1643026
19/09/09,14:22:52,14.771423700000003
19/09/09,14:22:53,15.8808881
19/09/09,14:22:54,16.7507515
19/09/09,14:22:55,16.7268323
19/09/09,14:22:56,16.0659496
19/09/09,14:22:57,19.0248477
19/09/09,14:22:58,18.9765801
19/09/09,14:22:59,18.0729638
19/09/09,14:23:00,15.404175699999998
19/09/09,14:23:01,17.4892289
19/09/09,14:23:02,15.716177700000001
19/09/09,14:23:03,15.955818500000003
19/09/09,14:23:04,16.523484600000003
19/09/09,14:23:05,8.207073
19/09/09,14:23:06,11.761676600000001
19/09/09,14:23:07,6.086399699999999
19/09/09,14:23:08,4.6568308
19/09/09,14:23:09,11.5151304
19/09/09,14:23:10,12.2316624
19/09/09,14:23:11,15.081416899999997
19/09/09,14:23:12,15.477702900000002
19/09/09,14:23:13,14.9357004
19/09/09,14:23:14,5.6049544000000004
19/09/09,14:23:15,9.1268597
19/09/09,14:23:16,6.2485577
19/09/09,14:23:17,4.301729
19/09/09,14:23:18,10.687695199999999
19/09/09,14:23:19,15.0668277
19/09/09,14:23:20,6.430646200000001
19/09/09,14:23:21,11.659953499999999
19/09/09,14:23:22,8.145602799999999
19/09/09,14:23:23,16.2966107
19/09/09,14:23:24,11.3116115
19/09/09,14:23:25,5.547992799999999
19/09/09,14:23:26,7.5583841000000005
19/09/09,14:23:27,5.5306192
19/09/09,14:23:28,16.080108599999996
19/09/09,14:23:29,10.6619668
19/09/09,14:23:30,16.5478513
19/09/09,14:23:31,17.6405714
19/09/09,14:23:32,11.618245100000001
19/09/09,14:23:33,17.855726
19/09/09,14:23:34,17.313360999999997
19/09/09,14:23:35,18.2046721
19/09/09,14:23:36,14.9123871
19/09/09,14:23:37,14.007491299999996
